Monster ID,Name-English,Main,Sub,"Lifespan
",Nature,Life Type (0-3),Life Type,Lif,Pow,Int,Ski,Spd,Def,Lif gain,Pow gain,Int gain,Ski gain,Spd gain,Def gain,Arena speed,Guts Rate,Battle Specials,Extra techs,Training bonus,No Offset
1061,Arrow Head,Arrow Head,Arrow Head,400,-10,0,1,110,150,90,140,100,190,3,3,2,3,2,5,E,16,"Power, Anger, Fight, Guard",,,0
132,Plated Arrow,Arrow Head,Durahan,400,-40,3,4,130,120,80,110,100,170,3,3,2,3,2,5,D,16,"Power, Anger, Guard",,Domino,0
727,Plated Arrow,Arrow Head,Durahan,400,-40,3,4,130,120,80,110,100,170,3,3,2,3,2,5,D,16,"Power, Anger, Will, Guard",,Domino,0
131,Priarocks,Arrow Head,Golem,380,30,2,3,120,150,70,50,60,190,3,4,2,2,2,5,D,17,"Power, Anger, Guard",,,0
726,Priarocks,Arrow Head,Golem,380,30,2,3,120,180,90,80,80,210,3,4,2,2,2,5,D,17,"Power, Anger, Grit, Guard",,,0
1060,Priarocks,Arrow Head,Golem,380,30,2,3,120,180,90,80,80,210,3,4,2,2,2,5,E,16,"Power, Anger, Grit, Guard",,,0
130,Renocraft,Arrow Head,Henger,360,65,0,1,120,100,60,110,90,130,3,3,2,3,3,4,D,17,"Power, Anger, Guard",,Shoot,0
725,Renocraft,Arrow Head,Henger,360,65,0,1,100,160,110,160,130,100,3,3,2,3,3,4,D,17,"Power, Anger, Will, Guard",,Shoot,0
1059,Renocraft,Arrow Head,Henger,360,65,0,1,100,160,110,160,130,100,3,3,2,3,3,4,E,16,"Power, Anger, Will, Guard",,Shoot,0
1193,Renocraft,Arrow Head,Henger,430,49,0,1,49,49,49,49,49,49,3,2,4,3,3,3,B,18,"Power, Anger, Vigor",Energy Shots,Shoot,1
135,Selketo,Arrow Head,Joker,340,-65,3,4,100,110,120,140,70,150,3,3,3,4,2,4,D,15,"Power, Anger, Guard, Real",,,0
730,Selketo,Arrow Head,Joker,340,-65,3,4,100,110,120,140,70,150,3,3,3,4,2,4,D,15,"Power, Anger, Guard, Vigor, Real",,,0
1146,Selketo,Arrow Head,Joker,400,-65,3,4,151,136,147,164,107,194,3,3,3,4,2,5,D,15,"Power, Anger, Guard, Real",TripleStings,,1
136,Log Sawer,Arrow Head,Mock,420,-15,1,2,90,110,130,100,60,150,2,3,3,3,2,4,D,15,"Power, Anger, Guard",,,0
731,Log Sawer,Arrow Head,Mock,420,-15,1,2,100,120,190,120,100,140,2,3,3,3,2,4,D,15,"Power, Anger, Will, Guard",,,0
1062,Log Sawer,Arrow Head,Mock,420,-15,1,2,100,120,190,120,100,140,2,3,3,3,2,4,E,14,"Power, Anger, Will, Guard",,,0
134,MustardArrow,Arrow Head,Suezo,380,-50,1,2,100,120,130,110,70,140,3,3,3,3,2,4,D,15,"Power, Anger, Guard",,,0
729,MustardArrow,Arrow Head,Suezo,380,-50,1,2,100,120,130,110,70,140,3,3,3,3,2,4,D,15,"Power, Anger, Guard, Ease",,,0
1118,MustardArrow,Arrow Head,Suezo,410,0,2,3,161,101,171,141,41,101,3,3,3,3,2,4,D,15,"Power, Anger, Guard",Tail Swing,,1
1235,Boxer Bajarl,Bajarl,??? (Boxer Bajarl),330,-90,3,4,123,153,128,173,116,98,3,4,3,4,3,2,D,13,"Power, Anger, Vigor, Real",Magic Pot,,0
402,Gym Bajarl,Bajarl,??? (Gym Bajarl),330,-90,3,4,123,153,128,173,116,98,3,4,3,4,3,2,D,13,"Power, Anger, Vigor, Real",Magic Pot,,1
403,Gym Bajarl,Bajarl,??? (Gym Bajarl),370,5,0,1,120,167,91,134,110,89,3,4,2,4,3,2,D,13,"Power, Anger, Vigor",Mystic Pot,,1
404,Gym Bajarl,Bajarl,??? (Gym Bajarl),330,-90,3,4,132,151,130,172,111,99,3,4,3,4,3,2,D,13,"Power, Anger, Vigor, Real",Bajarl Beam,,1
810,Gym Bajarl,Bajarl,??? (Gym Bajarl),330,-90,3,4,123,153,128,173,116,98,3,4,3,4,3,2,D,13,"Power, Anger, Will, Vigor, Real",Magic Pot,,1
1014,Gym Bajarl,Bajarl,??? (Gym Bajarl),460,-70,3,4,156,192,119,184,100,132,3,4,3,4,3,2,D,13,"Power, Anger, Vigor, Real",Magic Pot,,1
811,Magic Bajarl,Bajarl,??? (Magic Bajarl),370,5,0,1,107,150,127,126,116,90,3,4,2,4,3,2,D,13,"Power, Anger, Guard, Vigor",,,1
1015,Magic Bajarl,Bajarl,??? (Magic Bajarl),430,-15,0,1,130,162,145,161,142,99,3,4,3,3,3,2,D,13,"Power, Anger, Vigor",,,1
406,Ultrarl,Bajarl,??? (Ultrarl),370,5,0,1,101,134,102,153,126,98,3,4,2,4,3,2,D,13,"Power, Anger, Vigor",Bajarl Beam,,1
407,Ultrarl,Bajarl,??? (Ultrarl),370,5,0,1,106,165,94,146,116,87,3,4,2,4,3,2,D,13,"Power, Anger, Vigor",Magic Pot,Torble sea,1
408,Ultrarl,Bajarl,??? (Ultrarl),330,-90,3,4,105,167,125,155,148,94,3,4,3,4,3,2,D,13,"Power, Anger, Vigor, Real",Magic Pot,,1
812,Ultrarl,Bajarl,??? (Ultrarl),370,5,0,1,101,134,102,153,126,98,3,4,2,4,3,2,D,13,"Power, Anger, Vigor, Real",Bajarl Beam,,1
1016,Ultrarl,Bajarl,??? (Ultrarl),440,-20,0,1,150,150,178,177,140,95,3,3,3,4,3,2,D,13,"Power, Anger, Vigor",Bajarl Beam,,1
1128,Ultrarl,Bajarl,??? (Ultrarl),450,78,0,1,78,78,78,78,78,78,3,4,3,3,4,2,C,13,"Power, Anger, Vigor",Magic Punch,Meditate,1
205,Bajarl,Bajarl,Bajarl,350,5,0,1,100,130,90,120,110,80,3,4,2,4,3,2,D,13,"Power, Anger, Vigor",,,0
532,Bajarl,Bajarl,Bajarl,370,5,0,1,120,167,96,130,117,86,3,4,2,4,3,2,D,13,"Power, Anger, Vigor",,,1
808,Bajarl,Bajarl,Bajarl,350,5,0,1,120,160,100,150,130,100,3,4,2,4,3,2,D,13,"Power, Anger, Grit, Vigor",,,0
1075,Bajarl,Bajarl,Bajarl,350,5,0,1,120,160,100,150,130,100,3,4,2,4,3,2,E,12,"Power, Anger, Grit, Vigor",,,0
206,Jaba,Bajarl,Joker,310,-90,3,4,100,150,120,140,110,90,3,4,3,4,3,2,D,13,"Power, Anger, Vigor, Real",,,0
809,Jaba,Bajarl,Joker,310,-90,3,4,100,150,120,140,110,90,3,4,3,4,3,2,D,13,"Power, Anger, Will, Vigor, Real",,,0
390,Dango,Baku,??? (Dango),440,-15,3,4,156,146,98,95,58,177,4,4,2,2,1,4,E,15,"Power, Anger, Guard",,"Run, Pull",1
391,Dango,Baku,??? (Dango),440,-20,2,3,177,121,130,104,111,133,4,3,3,2,3,3,E,16,"Power, Anger, Guard",Mating Song,Meditate,1
392,Dango,Baku,??? (Dango),380,30,0,1,160,151,99,118,82,131,4,3,2,3,1,3,D,15,"Power, Anger, Ease",Nap,Endure,1
781,Dango,Baku,??? (Dango),440,-15,3,4,156,146,98,95,58,177,4,4,2,2,1,4,E,15,"Power, Anger, Will, Guard",,"Run, Pull",1
1010,Dango,Baku,??? (Dango),440,10,3,4,187,199,124,119,72,164,4,4,2,2,2,4,E,15,"Power, Anger, Guard",Mating Song,"Run, Pull",1
1124,Dango,Baku,??? (Dango),450,30,2,3,3,2,6,3,2,6,4,4,2,2,2,4,D,15,"Power, Anger, Guard, Vigor",Mating Song,"Run, Pull",1
1229,Shishi,Baku,??? (Shishi),440,-15,3,4,156,146,98,95,58,177,4,4,2,2,1,4,E,15,"Power, Anger, Guard",,"Run, Pull",0
1231,Shishi,Baku,??? (Shishi),380,30,0,1,160,151,99,118,82,131,4,3,2,3,1,3,D,15,"Power, Anger, Ease",Nap,Endure,0
178,Baku,Baku,Baku,400,70,2,3,180,130,50,70,60,150,5,4,1,2,1,3,E,16,"Power, Anger",,,0
522,Baku,Baku,Baku,420,70,2,3,194,140,51,75,91,169,5,4,1,2,1,3,E,16,"Power, Anger",,,1
777,Baku,Baku,Baku,400,70,2,3,180,130,50,70,60,150,5,4,1,2,1,3,E,16,"Power, Anger, Grit",,,0
173,Magmax,Baku,Dragon,340,-35,1,2,150,130,100,80,60,120,4,4,3,2,1,3,E,17,"Power, Anger",,,0
772,Magmax,Baku,Dragon,340,-35,1,2,150,130,100,80,60,120,4,4,3,2,1,3,E,17,"Power, Anger, Fury",,,0
175,War Baku,Baku,Durahan,400,-15,3,4,150,140,70,80,50,160,4,4,2,2,1,4,E,15,"Power, Anger",,Domino,0
774,War Baku,Baku,Durahan,400,-15,3,4,150,140,70,80,50,160,4,4,2,2,1,4,E,15,"Power, Anger, Will",,Domino,0
174,Higante,Baku,Golem,380,50,2,3,160,130,70,90,60,150,4,4,2,2,1,4,E,17,"Power, Anger",,,0
773,Higante,Baku,Golem,380,50,2,3,160,130,70,90,60,150,4,4,2,2,1,4,E,17,"Power, Anger, Guard",,,0
1149,Higante,Baku,Golem,410,50,2,3,149,167,72,80,65,151,4,4,2,2,2,4,E,17,"Power, Anger",Two Bites,,1
177,Gontar,Baku,Hare,360,55,0,1,150,130,50,90,100,80,4,4,1,2,3,2,D,16,"Power, Anger",,,0
776,Gontar,Baku,Hare,360,55,0,1,150,130,50,90,100,80,4,4,1,2,3,2,D,16,"Power, Anger, Grit",,,0
181,Giga Pint,Baku,Jell,380,30,0,1,150,120,90,100,70,130,4,3,2,3,1,3,D,15,"Power, Anger",,Endure,0
780,Giga Pint,Baku,Jell,380,30,0,1,150,120,90,100,70,130,4,3,2,3,1,3,D,15,"Power, Anger, Ease",,Endure,0
180,Baku Clown,Baku,Joker,340,-55,3,4,160,140,100,110,70,120,4,4,3,3,1,3,D,15,"Power, Anger, Real",,,0
523,Baku Clown,Baku,Joker,360,-55,3,4,172,159,112,122,82,139,4,4,3,3,1,3,D,15,"Power, Anger, Real",Foul Wind,,1
779,Baku Clown,Baku,Joker,340,-55,3,4,160,140,100,110,70,120,4,4,3,3,1,3,D,15,"Power, Anger, Grit, Real",,,0
179,Nussie,Baku,Kato,420,-20,2,3,160,110,120,70,100,130,4,3,3,2,3,3,E,16,"Power, Anger",,Meditate,0
778,Nussie,Baku,Kato,420,-20,2,3,160,110,120,70,100,130,4,3,3,2,3,3,E,16,"Power, Anger, Will",,Meditate,0
176,Icebergy,Baku,Tiger,360,75,1,2,150,120,50,100,70,90,4,3,2,3,2,2,D,13,"Power, Anger",,,0
775,Icebergy,Baku,Tiger,360,75,1,2,150,120,50,100,70,90,4,3,2,3,2,2,D,13,"Power, Anger, Hurry",,,0
352,Eggplantern,Beaclon,??? (Eggplantern),320,60,0,1,100,178,92,138,129,126,3,4,2,3,3,3,D,14,"Power, Anger, Guard, Vigor",Horn Cannon,"Shoot, Pull",1
353,Eggplantern,Beaclon,??? (Eggplantern),320,45,3,4,93,129,91,145,165,117,4,4,2,3,3,3,E,11,"Power, Anger, Guard, Vigor",Horn Smash,Pull,1
354,Eggplantern,Beaclon,??? (Eggplantern),320,30,1,2,95,142,64,71,157,152,4,4,1,2,2,4,E,13,"Power, Anger, Guard, Vigor",,Pull,1
645,Eggplantern,Beaclon,??? (Eggplantern),320,60,0,1,100,178,92,138,129,126,3,4,2,3,3,3,D,14,"Power, Anger, Fight, Guard, Vigor",Horn Cannon,"Shoot, Pull",1
998,Eggplantern,Beaclon,??? (Eggplantern),420,40,0,1,107,202,112,142,116,136,3,4,2,3,3,3,D,14,"Power, Anger, Guard, Vigor",Horn Cannon,"Shoot, Pull",1
1099,Eggplantern,Beaclon,??? (Eggplantern),470,10,0,1,10,10,10,9,9,9,3,3,3,3,3,3,D,14,"Power, Anger, Guard, Vigor",Flying Press,"Shoot, Pull",1
55,KautRoarKaut,Beaclon,Bajarl,320,15,0,1,120,150,50,100,90,110,4,4,1,3,2,3,E,13,"Power, Anger, Guard, Vigor",,Pull,0
642,KautRoarKaut,Beaclon,Bajarl,320,15,0,1,120,150,50,100,90,110,4,4,1,3,2,3,E,13,"Power, Anger, Will, Guard, Vigor",,Pull,0
50,Beaclon,Beaclon,Beaclon,300,30,1,2,120,150,50,70,90,140,4,4,1,2,2,4,E,13,"Power, Anger, Guard, Vigor",,Pull,0
493,Beaclon,Beaclon,Beaclon,320,30,1,2,132,171,59,102,82,138,4,4,1,2,2,4,E,13,"Guard, Vigor, No Anger",Horn Cannon,Pull,1
637,Beaclon,Beaclon,Beaclon,300,30,1,2,120,150,50,70,90,140,4,4,1,2,2,4,E,13,"Power, Anger, Will, Guard, Vigor",,Pull,0
1097,Beaclon,Beaclon,Beaclon,410,64,0,1,98,98,98,98,98,98,4,3,1,3,2,5,D,13,"Power, Anger, Guard, Vigor",,Pull,1
49,Bethelgeus,Beaclon,Dragon,280,-55,1,2,120,150,110,70,90,140,4,4,3,2,2,4,E,15,"Power, Anger, Guard, Vigor",,Pull,0
636,Bethelgeus,Beaclon,Dragon,280,-55,1,2,120,150,110,70,90,140,4,4,3,2,2,4,E,15,"Power, Anger, Fury, Guard, Vigor",,Pull,0
57,Ducklon,Beaclon,Ducken,300,45,3,4,90,150,70,100,120,110,4,4,2,3,3,3,E,11,"Power, Anger, Guard, Vigor",,Pull,0
494,Ducklon,Beaclon,Ducken,320,45,3,4,120,160,49,122,92,172,4,4,2,3,3,3,E,11,"Power, Anger, Guard, Vigor",Tremor,Pull,1
644,Ducklon,Beaclon,Ducken,300,45,3,4,90,150,70,100,120,110,4,4,2,3,3,3,E,11,"Power, Anger, Guard, Hurry, Vigor",,Pull,0
53,Centurion,Beaclon,Durahan,340,-35,3,4,120,150,80,70,90,140,4,4,2,2,2,4,E,13,"Power, Anger, Guard, Vigor",,"Domino, Pull",0
640,Centurion,Beaclon,Durahan,340,-35,3,4,120,150,80,70,90,140,4,4,2,2,2,4,E,13,"Power, Anger, Will, Guard, Vigor",,"Domino, Pull",0
52,Rocklon,Beaclon,Golem,320,35,2,3,120,150,80,70,90,140,4,4,2,2,2,4,E,15,"Power, Anger, Guard, Vigor",,Pull,0
639,Rocklon,Beaclon,Golem,320,35,2,3,120,150,80,70,90,140,4,4,2,2,2,4,E,15,"Power, Anger, Grit, Guard, Vigor",,Pull,0
1098,Rocklon,Beaclon,Golem,420,80,2,3,69,69,69,69,69,69,4,4,2,2,2,4,E,15,"Power, Anger, Guard, Vigor","Top Assault, Horn Cannon, Fist Missile",Pull,1
51,Melcarba,Beaclon,Henger,300,60,0,1,100,150,80,110,120,130,3,4,2,3,3,3,D,14,"Power, Anger, Guard, Vigor",,"Shoot, Pull",0
638,Melcarba,Beaclon,Henger,300,60,0,1,100,150,80,110,120,130,3,4,2,3,3,3,D,14,"Power, Anger, Fury, Guard, Vigor",,"Shoot, Pull",0
56,Jaggernaut,Beaclon,Joker,280,-75,3,4,120,150,130,100,90,110,4,4,3,3,2,3,D,13,"Power, Anger, Guard, Vigor, Real",,Pull,0
643,Jaggernaut,Beaclon,Joker,280,-75,3,4,120,150,130,100,90,110,4,4,3,3,2,3,D,13,"Power, Anger, Will, Guard, Vigor, Real",,Pull,0
54,Sloth Beetle,Beaclon,Tiger,300,60,1,2,100,110,70,130,90,120,3,3,2,3,3,3,D,11,"Power, Anger, Guard, Vigor",,Pull,0
641,Sloth Beetle,Beaclon,Tiger,300,60,1,2,100,110,70,130,90,120,3,3,2,3,3,3,D,11,"Power, Anger, Guard, Hurry, Vigor",,Pull,0
345,Blue Thunder,Centaur,??? (Blue Thunder),300,10,1,2,112,156,154,138,158,104,3,4,4,4,2,2,C,15,"Power, Anger, Grit, Will",Meteor Drive,Mandy,1
630,Blue Thunder,Centaur,??? (Blue Thunder),300,10,1,2,112,156,154,138,158,104,3,4,4,4,2,2,C,15,"Power, Anger, Grit, Will, Vigor",Meteor Drive,Mandy,1
995,Blue Thunder,Centaur,??? (Blue Thunder),430,-15,1,2,132,209,194,156,140,98,3,4,5,3,2,2,C,15,"Power, Anger, Grit, Will",Meteor Drive,Mandy,1
1095,Blue Thunder,Centaur,??? (Blue Thunder),420,30,2,3,9,99,199,199,199,9,3,4,4,3,3,2,C,15,"Power, Anger, Grit, Will","Mind Flare, Energy Shot",Mandy,1
973,Sniper,Centaur,??? (Sniper),360,-45,2,3,221,224,246,303,204,111,4,4,4,5,3,2,B,11,"Power, Anger, Grit, Will, Ease",Death Thrust,"Endure, Mandy",1
1201,Sniper,Centaur,??? (Sniper),360,-45,2,3,194,206,306,257,227,119,4,3,5,5,3,2,B,11,"Power, Anger, Grit, Will, Ease",Energy Shots,"Endure, Mandy",1
342,Trotter,Centaur,??? (Trotter),320,85,1,2,111,110,164,192,196,70,3,3,4,5,3,2,C,11,"Power, Anger, Grit, Will",,Run,1
343,Trotter,Centaur,??? (Trotter),380,15,3,4,104,115,172,174,158,109,3,3,4,4,2,3,C,13,"Power, Anger, Grit, Will",,Run,1
344,Trotter,Centaur,??? (Trotter),320,10,1,2,84,106,182,174,116,92,2,3,4,5,3,2,B,11,"Power, Anger, Grit, Will",Cross Slash,Run,1
629,Trotter,Centaur,??? (Trotter),320,85,1,2,111,110,164,192,196,70,3,3,4,5,3,2,C,11,"Power, Anger, Grit, Will, Guard",,Run,1
994,Trotter,Centaur,??? (Trotter),410,45,1,2,120,142,176,221,188,106,3,3,4,5,3,2,C,11,"Power, Anger, Grit, Will",Cross Slash,Run,1
42,Antares,Centaur,Arrow Head,340,30,0,1,90,100,110,140,150,120,3,3,3,4,2,3,C,15,"Power, Anger, Grit, Will",,Mandy,0
625,Antares,Centaur,Arrow Head,340,30,0,1,90,100,110,140,150,120,3,3,3,4,2,3,C,15,"Power, Anger, Grit, Will, Guard",,Mandy,0
44,Bazoo,Centaur,Bajarl,320,30,0,1,90,100,110,160,150,80,3,3,3,5,2,2,C,13,"Power, Anger, Grit, Will",,Mandy,0
490,Bazoo,Centaur,Bajarl,340,30,0,1,94,108,122,167,171,96,3,3,3,5,2,2,C,13,"Power, Anger, Grit, Will",,Mandy,1
627,Bazoo,Centaur,Bajarl,320,30,0,1,90,100,110,160,150,80,3,3,3,5,2,2,C,13,"Power, Anger, Grit, Will, Vigor",,Mandy,0
39,Centaur,Centaur,Centaur,300,75,0,1,90,100,140,160,150,80,3,3,4,5,2,2,C,16,"Power, Anger, Grit, Will",,Mandy,0
489,Centaur,Centaur,Centaur,320,75,0,1,101,108,154,174,165,86,3,3,4,5,2,2,C,16,"Power, Anger, Grit, Will",,Mandy,1
622,Centaur,Centaur,Centaur,300,75,0,1,90,100,140,160,150,80,3,3,4,5,2,2,C,16,"Power, Anger, Grit, Will, Guard",,Mandy,0
1094,Centaur,Centaur,Centaur,400,50,2,3,120,136,174,133,182,87,3,3,4,4,2,3,C,17,"Power, Anger, Grit, Will",Rush Slash,Mandy,1
38,Dragoon,Centaur,Dragon,280,-30,1,2,90,130,140,120,150,80,3,4,4,4,2,2,C,15,"Power, Anger, Grit, Will",,Mandy,0
621,Dragoon,Centaur,Dragon,280,-30,1,2,90,130,140,120,150,80,3,4,4,4,2,2,C,15,"Power, Anger, Grit, Will, Fury",,Mandy,0
1093,Dragoon,Centaur,Dragon,420,-72,0,1,72,72,72,72,72,72,3,4,4,3,3,2,B,15,"Power, Anger, Grit, Will",,Mandy,1
41,Chariot,Centaur,Durahan,340,-15,3,4,90,100,140,130,150,120,3,3,4,4,2,3,C,13,"Power, Anger, Grit, Will",,"Domino, Mandy",0
624,Chariot,Centaur,Durahan,340,-15,3,4,90,100,140,130,150,120,3,3,4,4,2,3,C,13,"Power, Anger, Grit, Will, Hurry",,"Domino, Mandy",0
40,Trojan,Centaur,Golem,320,50,2,3,90,130,140,100,150,110,3,4,4,3,2,3,D,15,"Power, Anger, Grit, Will",,Mandy,0
623,Trojan,Centaur,Golem,320,50,2,3,90,130,140,100,150,110,3,4,4,3,2,3,D,15,"Power, Anger, Grit, Will, Guard",,Mandy,0
45,Reaper,Centaur,Joker,280,-55,3,4,90,100,140,160,150,80,3,3,4,5,2,2,C,13,"Power, Anger, Grit, Will, Real",,Mandy,0
628,Reaper,Centaur,Joker,280,-55,3,4,90,100,140,160,150,80,3,3,4,5,2,2,C,13,"Power, Anger, Grit, Will, Fury, Real",,Mandy,0
37,Ferious,Centaur,Pixie,300,-10,1,2,70,100,140,160,110,80,2,3,4,5,3,2,B,11,"Power, Anger, Grit, Will",,Mandy,0
620,Ferious,Centaur,Pixie,300,-10,1,2,70,100,140,160,110,80,2,3,4,5,3,2,B,11,"Power, Anger, Grit, Will, Ease",,Mandy,0
43,Celious,Centaur,Tiger,300,85,1,2,90,100,140,160,170,80,3,3,4,5,3,2,C,11,"Power, Anger, Grit, Will",,Mandy,0
626,Celious,Centaur,Tiger,300,85,1,2,90,100,140,160,170,80,3,3,4,5,3,2,C,11,"Power, Anger, Grit, Will, Hurry",,Mandy,0
346,Dice,ColorPandora,??? (Dice),420,55,2,3,171,62,105,100,100,84,5,2,2,3,3,1,D,12,"Power, Anger, Unity",,,1
347,Dice,ColorPandora,??? (Dice),380,20,2,3,114,67,154,121,134,34,3,2,3,3,3,1,C,10,"Power, Anger, Unity",,Study,1
348,Dice,ColorPandora,??? (Dice),420,55,2,3,171,64,151,96,111,40,5,2,2,3,3,1,D,12,"Power, Anger, Unity",,,1
634,Dice,ColorPandora,??? (Dice),420,55,2,3,171,62,105,100,100,84,5,2,2,3,3,1,D,12,"Power, Anger, Will, Unity",,,1
996,Dice,ColorPandora,??? (Dice),430,35,2,3,190,92,118,118,142,90,5,2,2,3,3,2,D,12,"Power, Anger, Unity",,Study,1
349,Tram,ColorPandora,??? (Tram),380,25,2,3,131,70,84,134,106,115,4,2,3,3,3,2,D,12,"Power, Anger, Unity",,Endure,1
350,Tram,ColorPandora,??? (Tram),420,55,2,3,182,64,51,101,134,75,5,2,2,3,3,1,D,12,"Power, Anger, Unity",,,1
351,Tram,ColorPandora,??? (Tram),380,25,2,3,142,52,95,121,122,117,4,2,3,3,3,2,D,13,"Power, Anger, Unity",Kamikaze,Endure,1
635,Tram,ColorPandora,??? (Tram),380,25,2,3,131,70,84,134,106,115,4,2,3,3,3,2,D,12,"Power, Anger, Ease, Unity",,Endure,1
997,Tram,ColorPandora,??? (Tram),420,25,2,3,142,121,109,154,133,133,4,2,3,3,3,2,D,12,"Power, Anger, Unity",,Endure,1
